team,player_id,name,position,ms_carries,prob_1ytg_given_carry,prob_gz_given_carry,ryoe,ryoe_std
CIN,00-0033897,Joe Mixon,RB,0.821,0.092,0.085,-0.03,4.7
LV,00-0035700,Josh Jacobs,RB,0.821,0.069,0.077,-0.08,5.7
TEN,00-0032764,Derrick Henry,RB,0.714,0.098,0.04,-0.07,6.6
JAX,00-0036973,Travis Etienne,RB,0.697,0.108,0.048,0.2,6.2
TB,00-0037256,Rachaad White,RB,0.679,0.102,0.048,0.02,4.6
SF,00-0033280,Christian McCaffrey,RB,0.63,0.14,0.096,0.12,7.1
WAS,00-0037746,Brian Robinson,RB,0.601,0.102,0.044,-0.26,4.6
SEA,00-0038134,Kenneth Walker,RB,0.598,0.102,0.068,-0.09,7.1
DAL,00-0035261,Tony Pollard,RB,0.598,0.086,0.11,0.05,6.2
NYG,00-0034844,Saquon Barkley,RB,0.589,0.089,0.042,-0.16,6.7
KC,00-0037197,Isiah Pacheco,RB,0.575,0.131,0.06,0.25,5.4
PIT,00-0036893,Najee Harris,RB,0.571,0.048,0.064,-0.37,4.8
NYJ,00-0038120,Breece Hall,RB,0.563,0.042,0.037,0.19,8.6
DEN,00-0036997,Javonte Williams,RB,0.545,0.054,0.059,-0.42,4.9
IND,00-0036251,Zack Moss,RB,0.537,0.108,0.097,-0.09,5.7
GB,00-0036265,A.J. Dillon,RB,0.512,0.084,0.071,-0.45,4.3
LAC,00-0033699,Austin Ekeler,RB,0.499,0.136,0.108,0.24,6.0
LA,00-0037840,Kyren Williams,RB,0.494,0.112,0.111,0.24,5.6
CAR,00-0036555,Chuba Hubbard,RB,0.493,0.138,0.048,-0.03,4.7
MIA,00-0031687,Raheem Mostert,RB,0.493,0.073,0.098,-0.06,6.5
NE,00-0036875,Rhamondre Stevenson,RB,0.481,0.103,0.042,-0.04,5.8
PHI,00-0036275,D'Andre Swift,RB,0.481,0.04,0.105,0.14,6.3
MIN,00-0034972,Alexander Mattison,RB,0.478,0.054,0.051,-0.16,4.7
ARI,00-0033553,James Conner,RB,0.472,0.075,0.077,0.07,5.1
DET,00-0035685,David Montgomery,RB,0.462,0.095,0.113,-0.34,5.8
BUF,00-0037248,James Cook,RB,0.46,0.033,0.06,0.09,5.9
HOU,00-0035250,Devin Singletary,RB,0.434,0.047,0.064,0.02,5.3
NE,00-0033045,Ezekiel Elliott,RB,0.433,0.075,0.062,-0.33,4.4
NO,00-0033906,Alvin Kamara,RB,0.432,0.068,0.1,-0.06,4.7
HOU,00-0037258,Dameon Pierce,RB,0.419,0.059,0.078,-0.1,5.6
ATL,00-0037263,Tyler Allgeier,RB,0.413,0.069,0.054,-0.22,5.1
CAR,00-0035243,Miles Sanders,RB,0.406,0.088,0.046,-0.05,6.1
ATL,00-0038542,Bijan Robinson,RB,0.404,0.065,0.036,0.13,5.3
BAL,00-0034184,Gus Edwards,RB,0.399,0.105,0.094,-0.45,5.2
CLE,00-0037267,Jerome Ford,RB,0.386,0.036,0.036,-0.34,7.7
IND,00-0036223,Jonathan Taylor,RB,0.351,0.11,0.061,0.17,6.8
NYJ,00-0033893,Dalvin Cook,RB,0.341,0.103,0.042,0.04,6.3
PIT,00-0037228,Jaylen Warren,RB,0.336,0.063,0.02,0.41,6.8
CHI,00-0033925,D'Onta Foreman,RB,0.332,0.051,0.067,-0.05,5.5
LAC,00-0036370,Joshua Kelley,RB,0.331,0.073,0.054,-0.1,5.0
DET,00-0039139,Jahmyr Gibbs,RB,0.327,0.055,0.086,-0.01,6.5
SEA,00-0039165,Zach Charbonnet,RB,0.314,0.126,0.105,0.05,5.0
CLE,00-0033923,Kareem Hunt,RB,0.286,0.147,0.073,-0.49,4.7
GB,00-0033293,Aaron Jones,RB,0.245,0.099,0.056,0.14,6.0
CHI,00-0036906,Khalil Herbert,RB,0.239,0.037,0.04,0.07,6.1
BUF,00-0030513,Latavius Murray,RB,0.238,0.151,0.142,-0.13,5.1
PHI,00-0036389,Jalen Hurts,QB,0.233,0.363,0.136,-0.08,4.7
NO,00-0033948,Jamaal Williams,RB,0.23,0.109,0.053,-0.49,4.7
LA,00-0034838,Royce Freeman,RB,0.216,0.072,0.089,-0.27,4.3
MIN,00-0036414,Cam Akers,RB,0.215,0.051,0.062,-0.4,5.1
TEN,00-0039032,Tyjae Spears,RB,0.207,0.056,0.056,-0.13,4.9
DAL,00-0036139,Rico Dowdle,RB,0.206,0.093,0.027,-0.38,4.2
WAS,00-0036328,Antonio Gibson,RB,0.199,0.052,0.015,-0.13,4.4
NO,00-0033357,Taysom Hill,QB,0.198,0.146,0.131,0.69,6.1
PHI,00-0036919,Kenneth Gainwell,RB,0.183,0.052,0.128,-0.15,4.5
BAL,00-0034975,Justice Hill,RB,0.18,0.061,0.142,-0.36,4.9
DEN,00-0038794,Jaleel McLaughlin,RB,0.175,0.0,0.071,0.47,6.3
KC,00-0036360,Clyde Edwards-Helaire,RB,0.17,0.102,0.036,-0.27,4.9
ARI,00-0038705,Emari Demercado,RB,0.167,0.058,0.019,-0.71,4.4
BAL,00-0034796,Lamar Jackson,QB,0.163,0.129,0.084,0.62,6.7
CHI,00-0036945,Justin Fields,QB,0.163,0.154,0.012,0.15,6.4
LA,00-0035664,Darrell Henderson,RB,0.161,0.085,0.051,-0.26,4.5
NYG,00-0033308,Matt Breida,RB,0.158,0.045,0.028,-0.45,5.0
DEN,00-0033526,Samaje Perine,RB,0.156,0.058,0.114,0.02,4.8
MIA,00-0039040,Devon Achane,RB,0.154,0.032,0.159,1.57,11.2
CHI,00-0039021,Roschon Johnson,RB,0.145,0.037,0.074,-0.16,4.6
MIN,00-0037276,Ty Chandler,RB,0.135,0.02,0.02,-0.28,4.8
CLE,00-0034791,Nick Chubb,RB,0.135,0.045,0.062,0.35,6.8
SF,00-0036567,Elijah Mitchell,RB,0.126,0.028,0.033,-0.41,5.2
TB,00-0034681,Chase Edmonds,RB,0.113,0.014,0.003,-0.21,5.4
ATL,00-0030578,Cordarrelle Patterson,RB,0.113,0.023,0.065,-0.06,5.1
DET,00-0035567,Craig Reynolds,RB,0.11,0.023,0.115,-0.42,4.8
KC,00-0037299,Keaontay Ingram,RB,0.11,0.003,0.029,-1.1,4.6
WAS,00-0038611,Chris Rodriguez,RB,0.103,0.097,0.032,-0.24,4.5
JAX,00-0038555,Tank Bigsby,RB,0.103,0.25,0.028,-0.52,3.9
MIN,00-0033949,Joshua Dobbs,QB,0.102,0.379,0.0,-0.27,5.8
MIA,00-0034115,Jeffery Wilson,RB,0.099,0.094,0.052,-0.1,5.2
JAX,00-0035628,D'Ernest Johnson,RB,0.098,0.058,0.087,-0.28,4.7
BAL,00-0038454,Keaton Mitchell,RB,0.097,0.079,0.0,1.13,9.7
BUF,00-0034857,Josh Allen,QB,0.093,0.382,0.134,0.19,5.3
CLE,00-0038098,Pierre Strong,RB,0.09,0.154,0.003,0.24,6.1
BUF,00-0035657,Damien Harris,RB,0.089,0.196,0.077,-0.05,5.4
SF,00-0035719,Deebo Samuel,WR,0.088,0.028,0.037,0.2,6.5
ARI,00-0036924,Michael Carter,RB,0.088,0.139,0.022,-0.25,5.3
ARI,00-0035860,Tony Jones,RB,0.086,0.119,0.148,-0.53,4.2
MIA,00-0036297,Darrynton Evans,RB,0.082,0.0,0.06,-0.38,4.4
TB,00-0036450,Ke'Shawn Vaughn,RB,0.081,0.047,0.039,-0.52,4.9
SF,00-0037525,Jordan Mason,RB,0.078,0.041,0.067,0.26,5.8
KC,00-0031376,Jerick McKinnon,RB,0.076,0.188,0.065,-0.42,4.9
ARI,00-0036936,Rondale Moore,WR,0.076,0.004,0.0,-0.04,6.6
DEN,00-0029263,Russell Wilson,QB,0.075,0.579,0.129,-0.28,4.7
NO,00-0038551,Kendre Miller,RB,0.072,0.107,0.0,-0.54,4.0
CIN,00-0038597,Chase Brown,RB,0.069,0.0,0.053,-0.09,5.6
NYG,00-0035710,Daniel Jones,QB,0.069,0.375,0.059,0.22,5.9
LV,00-0038040,Zamir White,RB,0.067,0.005,0.092,-0.47,4.6
LAC,00-0038045,Isaiah Spiller,RB,0.063,0.056,0.051,-0.67,4.1
GB,00-0035973,Patrick Taylor,RB,0.059,0.005,0.052,-0.16,4.5
PHI,00-0034414,Boston Scott,RB,0.059,0.066,0.074,-0.2,4.9
MIA,00-0036020,Salvon Ahmed,RB,0.058,0.055,0.127,-0.63,4.5
DAL,00-0038622,Deuce Vaughn,RB,0.058,0.0,0.048,-0.95,4.4
