team,player_id,count
ARI,00-0035500,10
ARI,00-0035876,1
ARI,00-0036936,1
ATL,00-0030578,6
ATL,00-0034843,3
ATL,00-0030968,1
ATL,00-0037034,1
BAL,00-0036331,13
BUF,00-0037261,9
BUF,00-0035537,5
BUF,00-0035527,1
BUF,00-0035657,1
CAR,00-0037429,9
CAR,00-0036268,6
CAR,00-0038877,2
CHI,00-0037745,9
CHI,00-0038941,6
CHI,00-0039021,2
CHI,00-0036290,1
CIN,00-0035291,12
CIN,00-0036857,2
CIN,00-0035341,1
CLE,00-0038098,7
CLE,00-0036877,2
DAL,00-0037801,7
DAL,00-0036139,5
DAL,00-0038738,2
DEN,00-0038976,11
DET,00-0036124,12
DET,00-0035567,3
DET,00-0032464,1
DET,00-0036963,1
DET,00-0037157,1
DET,00-0038656,1
GB,00-0035133,24
GB,00-0038465,1
HOU,00-0034208,4
HOU,00-0035250,4
HOU,00-0038977,3
HOU,00-0033566,1
HOU,00-0034959,1
IND,00-0033466,11
IND,00-0037395,3
JAX,00-0033572,7
JAX,00-0035628,6
JAX,00-0038606,2
JAX,00-0036306,1
KC,00-0034286,10
KC,00-0031376,1
KC,00-0035140,1
KC,00-0037272,1
LA,00-0036841,9
LA,00-0037557,3
LA,00-0037840,2
LA,00-0032775,1
LAC,00-0038573,10
LV,00-0031763,9
LV,00-0034983,1
MIA,00-0034419,15
MIN,00-0036842,5
MIN,00-0037276,4
NE,00-0032200,9
NE,00-0036087,1
NE,00-0036231,1
NE,00-0036387,1
NO,00-0037545,17
NO,00-0036364,2
NYG,00-0035639,8
NYG,00-0038396,5
NYG,00-0035645,2
NYG,00-0036145,1
NYJ,00-0038496,15
NYJ,00-0038389,1
PHI,00-0034414,6
PHI,00-0035208,4
PHI,00-0036271,1
PHI,00-0037039,1
PHI,00-0037132,1
PIT,00-0034614,8
PIT,00-0036336,7
PIT,00-0033566,4
PIT,00-0035645,2
PIT,00-0037247,1
SEA,00-0036425,11
SEA,00-0036620,8
SEA,00-0036244,1
SF,00-0034407,10
SF,00-0035719,4
SF,00-0037525,1
TB,00-0037487,17
TEN,00-0039032,19
TEN,00-0032398,4
TEN,00-0037273,1
WAS,00-0036328,14
WAS,00-0034297,3
