player_id,team,name,position,ms_targets,prob_rz_given_target,prob_catch_oe,adot,adot_std,xyac,yac_oe,targets
00-0030874,ARI,Damien Williams,RB,0.015,0.111,-0.01,5.6,9.2,6.22,-0.06,148
00-0033553,ARI,James Conner,RB,0.062,0.126,0.03,3.0,7.6,7.0,0.15,290
00-0033725,ARI,Corey Clement,RB,0.0,0.129,0.0,6.4,9.1,5.9,0.46,71
00-0033951,ARI,Marlon Mack,RB,0.001,0.126,-0.01,5.7,8.9,6.08,1.08,97
00-0035860,ARI,Tony Jones,RB,0.007,0.123,-0.03,5.7,8.9,5.89,-0.31,26
00-0036457,ARI,Ty'Son Williams,RB,0.0,0.131,-0.0,6.7,9.1,5.59,0.5,13
00-0036924,ARI,Michael Carter,RB,0.043,0.131,0.01,3.9,7.1,6.22,-0.7,140
00-0038705,ARI,Emari Demercado,RB,0.049,0.072,-0.03,4.5,8.0,6.21,-1.02,30
00-0030061,ARI,Zach Ertz,TE,0.087,0.173,-0.02,7.8,8.5,5.09,-1.25,741
00-0032141,ARI,Geoff Swaim,TE,0.027,0.169,0.03,6.6,8.6,5.47,-0.55,131
00-0037744,ARI,Trey McBride,TE,0.173,0.101,0.06,6.6,8.1,5.48,-0.21,145
00-0039041,ARI,Elijah Higgins,TE,0.03,0.118,0.02,7.5,8.7,5.32,0.12,19
00-0033251,ARI,Zach Pascal,WR,0.039,0.147,-0.05,8.6,9.5,5.42,-0.35,306
00-0035500,ARI,Greg Dortch,WR,0.074,0.099,0.01,7.7,9.4,5.46,0.4,108
00-0035510,ARI,Jeff Smith,WR,0.001,0.126,-0.01,9.6,10.8,5.31,-0.4,66
00-0035662,ARI,Marquise Brown,WR,0.186,0.102,-0.04,10.8,11.7,5.23,-0.99,551
00-0035876,ARI,Andre Baccellia,WR,0.0,0.129,0.01,8.3,9.5,5.28,-0.68,10
00-0036936,ARI,Rondale Moore,WR,0.105,0.098,-0.01,5.9,10.6,6.31,-0.48,188
00-0038559,ARI,Michael Wilson,WR,0.1,0.123,0.04,10.9,8.8,4.89,-0.31,58
00-0030968,ATL,Keith Smith,FB,0.005,0.144,0.01,7.3,9.5,5.58,-0.29,45
00-0031800,ATL,Taylor Heinicke,QB,0.0,0.13,0.01,7.6,10.0,5.66,-0.37,1
00-0038122,ATL,Desmond Ridder,QB,0.001,0.124,0.01,7.6,10.0,5.72,-0.55,1
00-0030578,ATL,Cordarrelle Patterson,RB,0.039,0.142,-0.0,5.4,9.1,6.14,-0.37,230
00-0036950,ATL,Avery Williams,RB,0.001,0.135,0.04,5.0,8.5,6.22,-0.69,14
00-0037263,ATL,Tyler Allgeier,RB,0.034,0.1,0.02,4.2,8.4,6.63,1.42,40
00-0038542,ATL,Bijan Robinson,RB,0.156,0.138,-0.05,2.3,6.7,6.87,1.03,86
00-0031585,ATL,MyCole Pruitt,TE,0.022,0.219,0.02,7.2,8.9,5.4,0.29,82
00-0033858,ATL,Jonnu Smith,TE,0.108,0.132,0.01,6.7,8.6,5.61,1.13,339
00-0035572,ATL,Parker Hesse,TE,0.001,0.132,0.03,7.4,8.9,5.32,-0.15,17
00-0036825,ATL,Feleipe Franks,TE,0.0,0.13,-0.03,9.3,11.6,5.53,,2
00-0036970,ATL,Kyle Pitts,TE,0.162,0.078,-0.02,10.8,9.7,4.8,-0.72,258
00-0037306,ATL,John FitzPatrick,TE,0.001,0.124,0.01,7.8,10.0,5.54,0.2,1
00-0037654,ATL,Tucker Fisk,TE,0.001,0.124,0.01,7.9,10.0,5.51,0.05,1
00-0031868,ATL,Damiere Byrd,WR,0.047,0.078,0.01,10.9,11.8,5.13,0.32,205
00-0033555,ATL,Mack Hollins,WR,0.08,0.114,-0.01,10.9,11.3,4.95,-0.57,223
00-0034854,ATL,KhaDarel Hodge,WR,0.035,0.068,0.01,10.5,9.6,5.07,0.49,98
00-0035022,ATL,Penny Hart,WR,0.0,0.128,-0.01,8.1,10.5,5.62,-0.17,17
00-0035246,ATL,J.J. Arcega-Whiteside,WR,0.0,0.129,-0.02,9.5,10.2,5.4,-0.06,34
00-0035298,ATL,Scott Miller,WR,0.028,0.142,0.0,10.3,12.2,5.49,-0.79,157
