team,player_id,count
ARI,00-0035500,37
ARI,00-0036936,4
ARI,00-0032933,1
ATL,00-0037034,27
ATL,00-0034843,21
ATL,00-0035298,2
ATL,00-0038542,1
BAL,00-0036331,43
BAL,00-0036630,12
BAL,00-0037984,1
BUF,00-0035215,51
BUF,00-0037261,5
CAR,00-0036635,57
CHI,00-0033292,44
CIN,00-0038576,34
CIN,00-0035341,15
CIN,00-0038619,1
CLE,00-0036133,49
CLE,00-0036233,21
CLE,00-0036877,5
CLE,00-0036980,2
DAL,00-0037801,35
DAL,00-0038622,5
DAL,00-0037666,1
DEN,00-0038976,32
DEN,00-0036959,2
DEN,00-0034278,1
DET,00-0032464,52
GB,00-0039146,25
GB,00-0035133,15
GB,00-0037098,1
HOU,00-0030431,17
HOU,00-0038977,17
HOU,00-0033566,12
HOU,00-0034928,8
IND,00-0033466,39
IND,00-0038997,12
JAX,00-0033572,23
JAX,00-0038606,17
JAX,00-0034775,5
JAX,00-0034903,1
KC,00-0034286,28
KC,00-0035140,12
KC,00-0037272,12
KC,00-0036913,6
LA,00-0036841,44
LA,00-0037840,8
LAC,00-0038573,53
LV,00-0031763,42
LV,00-0035076,1
MIA,00-0034419,47
MIA,00-0034418,6
MIN,00-0034646,51
NE,00-0036087,27
NE,00-0038621,21
NE,00-0033883,7
NE,00-0037253,4
NO,00-0037545,48
NO,00-0036364,8
NYG,00-0035645,30
NYG,00-0038396,12
NYG,00-0032385,5
NYG,00-0031587,1
NYG,00-0033878,1
NYG,00-0035535,1
NYG,00-0036589,1
NYJ,00-0038496,63
NYJ,00-0034384,1
PHI,00-0037132,47
PIT,00-0037837,41
PIT,00-0035645,2
SEA,00-0036425,41
SF,00-0034407,33
SF,00-0038647,14
TB,00-0037487,43
TEN,00-0038961,26
TEN,00-0036176,17
TEN,00-0038969,9
TEN,00-0037273,4
WAS,00-0031941,49
