player_id,team,name,position,cpoe,int_ue,ayoe,ay_std,prob_sack_given_hit
00-0033251,ARI,Zach Pascal,WR,-0.011,0.0,0.1,10.0,0.43
00-0035228,ARI,Kyler Murray,QB,0.004,0.001,-0.6,10.0,0.55
00-0027688,ARI,Colt McCoy,QB,0.009,0.002,-1.1,8.8,0.43
00-0038582,ARI,Clayton Tune,QB,-0.031,-0.022,-2.0,9.0,0.57
00-0037238,ATL,Drake London,WR,0.007,0.001,0.1,10.0,0.43
00-0033555,ATL,Mack Hollins,WR,0.003,0.0,-0.3,10.0,0.43
00-0031800,ATL,Taylor Heinicke,QB,-0.03,-0.002,-0.1,10.3,0.39
00-0038122,ATL,Desmond Ridder,QB,-0.0,-0.006,0.4,10.2,0.51
00-0036825,ATL,Feleipe Franks,TE,-0.014,-0.019,-0.1,10.0,0.43
00-0033858,ATL,Jonnu Smith,TE,-0.014,0.0,0.1,10.0,0.43
00-0034438,ATL,Logan Woodside,QB,0.0,-0.017,-0.5,9.7,0.44
00-0034796,BAL,Lamar Jackson,QB,0.018,0.003,0.4,10.7,0.55
00-0031235,BAL,Odell Beckham,WR,0.011,0.001,0.5,10.2,0.41
00-0026300,BAL,Josh Johnson,QB,0.001,0.002,-0.5,9.2,0.37
00-0035993,BAL,Tyler Huntley,QB,-0.002,0.002,-0.9,9.0,0.52
00-0031549,BAL,Nelson Agholor,WR,0.006,0.0,-0.0,10.0,0.43
00-0037175,BAL,Anthony Brown,QB,-0.083,-0.01,-0.0,9.0,0.49
00-0031588,BUF,Stefon Diggs,WR,-0.011,0.001,0.1,10.0,0.48
00-0034577,BUF,Kyle Allen,QB,-0.026,-0.016,-0.4,9.9,0.48
00-0034857,BUF,Josh Allen,QB,0.021,-0.007,0.8,10.6,0.36
00-0033856,BUF,Leonard Fournette,RB,-0.015,0.0,-0.2,10.0,0.43
00-0033556,CAR,Tarik Cohen,RB,0.004,0.001,0.2,9.9,0.43
00-0027973,CAR,Andy Dalton,QB,-0.001,-0.0,-0.2,9.2,0.48
00-0039150,CAR,Bryce Young,QB,-0.003,0.007,-0.4,9.2,0.53
00-0036312,CAR,Jake Luton,QB,-0.055,-0.024,-0.2,10.0,0.45
00-0034827,CHI,D.J. Moore,WR,-0.014,0.0,-0.0,10.0,0.43
00-0034860,CHI,Dante Pettis,WR,0.007,0.0,0.0,10.0,0.43
00-0033958,CHI,Nathan Peterman,QB,-0.018,0.006,0.0,10.0,0.45
00-0038416,CHI,Tyson Bagent,QB,-0.009,-0.018,-2.1,10.0,0.39
00-0036945,CHI,Justin Fields,QB,-0.001,-0.0,-0.0,10.8,0.54
00-0036442,CIN,Joe Burrow,QB,0.022,0.003,-0.8,9.3,0.44
00-0036900,CIN,Ja'Marr Chase,WR,0.003,0.0,-0.3,10.0,0.43
00-0033009,CIN,Tyler Boyd,WR,-0.008,-0.012,-0.2,10.0,0.44
00-0033897,CIN,Joe Mixon,RB,0.006,0.001,0.1,10.0,0.43
