team,player_id,name,position,scramble_rate,syoe,syoe_std
NYG,00-0028118,Tyrod Taylor,QB,0.149,-0.27,5.1
ARI,00-0038582,Clayton Tune,QB,0.147,-0.34,4.7
TEN,00-0038128,Malik Willis,QB,0.12,-0.36,4.8
CHI,00-0036945,Justin Fields,QB,0.12,0.67,7.1
DAL,00-0037012,Trey Lance,QB,0.119,-0.3,4.7
BAL,00-0034796,Lamar Jackson,QB,0.113,-0.28,5.2
NO,00-0033357,Taysom Hill,QB,0.112,0.05,5.2
NYG,00-0038476,Tommy DeVito,QB,0.111,-0.5,4.7
MIN,00-0038598,Jaren Hall,QB,0.107,-0.22,4.7
BAL,00-0035993,Tyler Huntley,QB,0.104,-0.27,4.8
DEN,00-0035264,Jarrett Stidham,QB,0.099,-0.17,4.6
IND,00-0036879,Sam Ehlinger,QB,0.097,-0.28,4.8
NYG,00-0035710,Daniel Jones,QB,0.095,0.05,5.0
CLE,00-0033537,Deshaun Watson,QB,0.086,-0.34,4.8
PHI,00-0036389,Jalen Hurts,QB,0.08,-0.13,5.4
WAS,00-0036197,Jake Fromm,QB,0.079,0.16,5.5
BUF,00-0034857,Josh Allen,QB,0.077,0.51,5.4
PHI,00-0032268,Marcus Mariota,QB,0.077,-0.18,4.9
IND,00-0039164,Anthony Richardson,QB,0.076,-0.38,4.6
NE,00-0035251,Will Grier,QB,0.075,-0.51,4.9
KC,00-0033873,Patrick Mahomes,QB,0.074,0.34,5.3
DEN,00-0029263,Russell Wilson,QB,0.074,-0.11,5.1
MIN,00-0033949,Joshua Dobbs,QB,0.074,0.02,5.4
CIN,00-0035100,Jake Browning,QB,0.073,0.07,5.3
ARI,00-0032436,Jeff Driskel,QB,0.069,-0.14,4.8
ATL,00-0031800,Taylor Heinicke,QB,0.067,-0.13,4.9
CHI,00-0038416,Tyson Bagent,QB,0.067,0.07,5.0
CHI,00-0033958,Nathan Peterman,QB,0.066,-0.31,4.8
ARI,00-0035228,Kyler Murray,QB,0.064,0.08,5.0
CIN,00-0031288,AJ McCarron,QB,0.064,-0.05,5.0
PIT,00-0035146,Trace McSorley,QB,0.063,-0.28,4.8
NE,00-0036929,Ian Book,QB,0.061,-0.42,4.9
WAS,00-0033119,Jacoby Brissett,QB,0.061,-0.09,4.9
CAR,00-0039150,Bryce Young,QB,0.058,0.06,5.0
NYJ,00-0037013,Zach Wilson,QB,0.058,0.16,5.5
PIT,00-0033869,Mitchell Trubisky,QB,0.056,-0.19,5.1
ATL,00-0038122,Desmond Ridder,QB,0.055,-0.25,4.7
SF,00-0034869,Sam Darnold,QB,0.054,0.07,5.5
JAX,00-0036971,Trevor Lawrence,QB,0.053,0.2,5.2
SEA,00-0035704,Drew Lock,QB,0.053,-0.36,4.9
MIA,00-0037327,Skylar Thompson,QB,0.053,-0.7,4.8
WAS,00-0037077,Sam Howell,QB,0.052,-0.02,5.1
TB,00-0034899,John Wolford,QB,0.052,-0.39,4.8
DET,00-0032792,Nate Sudfeld,QB,0.052,-0.13,4.9
TB,00-0034855,Baker Mayfield,QB,0.051,-0.65,5.0
CLE,00-0038583,Dorian Thompson-Robinson,QB,0.05,-0.24,4.7
LAC,00-0036355,Justin Herbert,QB,0.05,0.0,5.5
PIT,00-0038102,Kenny Pickett,QB,0.049,-0.42,4.7
GB,00-0036264,Jordan Love,QB,0.048,0.03,5.4
ARI,00-0027688,Colt McCoy,QB,0.048,-0.45,4.7
DAL,00-0033077,Dak Prescott,QB,0.046,-0.44,4.6
DET,00-0035040,David Blough,QB,0.045,-0.26,4.8
SEA,00-0030565,Geno Smith,QB,0.043,0.11,4.9
LA,00-0032950,Carson Wentz,QB,0.043,-0.21,5.0
IND,00-0035289,Gardner Minshew,QB,0.042,-0.48,4.8
DET,00-0031237,Teddy Bridgewater,QB,0.042,-0.21,4.6
NE,00-0038911,Malik Cunningham,QB,0.041,,
NYJ,00-0034955,Brett Rypien,QB,0.041,-0.25,4.7
SF,00-0037834,Brock Purdy,QB,0.041,-0.08,4.8
NE,00-0038108,Bailey Zappe,QB,0.041,-0.32,4.7
JAX,00-0033936,C.J. Beathard,QB,0.04,-0.23,4.8
CIN,00-0036442,Joe Burrow,QB,0.04,-0.27,4.9
PIT,00-0034771,Mason Rudolph,QB,0.04,-0.02,5.2
HOU,00-0039163,C.J. Stroud,QB,0.039,-0.17,4.8
BAL,00-0026300,Josh Johnson,QB,0.038,-0.26,4.7
NE,00-0036972,Mac Jones,QB,0.036,-0.34,4.7
TEN,00-0029701,Ryan Tannehill,QB,0.035,-0.08,5.0
ATL,00-0034438,Logan Woodside,QB,0.035,,
IND,00-0036946,Kellen Mond,QB,0.035,,
NO,00-0031503,Jameis Winston,QB,0.034,-0.08,5.0
HOU,00-0036898,Davis Mills,QB,0.034,-0.47,4.6
HOU,00-0028986,Case Keenum,QB,0.033,-0.29,4.8
KC,00-0027948,Blaine Gabbert,QB,0.032,-0.23,4.9
NYJ,00-0032156,Trevor Siemian,QB,0.032,-0.21,4.8
MIA,00-0036212,Tua Tagovailoa,QB,0.031,-0.42,4.7
CAR,00-0027973,Andy Dalton,QB,0.031,-0.27,4.7
CLE,00-0033275,P.J. Walker,QB,0.031,-0.22,4.9
LV,00-0031345,Jimmy Garoppolo,QB,0.031,-0.52,4.7
NYG,00-0036226,Jacob Eason,QB,0.03,,
NYJ,00-0023459,Aaron Rodgers,QB,0.029,-0.15,4.7
BUF,00-0034577,Kyle Allen,QB,0.029,-0.35,4.7
SEA,00-0032245,Sean Mannion,QB,0.028,-0.14,4.8
TB,00-0036928,Kyle Trask,QB,0.028,,
SF,00-0032434,Brandon Allen,QB,0.027,-0.51,4.7
LA,00-0026498,Matthew Stafford,QB,0.026,-0.46,4.6
TEN,00-0039152,Will Levis,QB,0.025,-0.26,4.7
DEN,00-0036384,Ben DiNucci,QB,0.024,-0.19,4.8
MIN,00-0033319,Nick Mullens,QB,0.024,-0.32,4.8
NO,00-0031280,Derek Carr,QB,0.022,-0.34,4.7
DET,00-0033106,Jared Goff,QB,0.02,-0.56,4.8
MIN,00-0029604,Kirk Cousins,QB,0.015,-0.06,5.0
DAL,00-0033662,Cooper Rush,QB,0.015,-0.33,4.8
LAC,00-0035282,Easton Stick,QB,0.013,,
CAR,00-0036312,Jake Luton,QB,0.011,-0.08,4.9
LV,00-0026625,Brian Hoyer,QB,0.011,-0.23,4.8
NYG,00-0030533,Matt Barkley,QB,0.011,,
CLE,00-0026158,Joe Flacco,QB,0.008,-0.29,4.8
MIA,00-0034401,Mike White,QB,0.008,-0.2,4.8
BAL,00-0037175,Anthony Brown,QB,0.007,,
NYJ,00-0034177,Tim Boyle,QB,0.007,-0.03,4.9
LV,00-0038579,Aidan O'Connell,QB,0.006,,
