team,oline_rushing_z,dline_rushing_z
ARI,0.63,-0.7
ATL,0.41,0.21
BAL,1.93,0.52
BUF,1.0,-0.59
CAR,-0.34,-0.36
CHI,0.63,-0.03
CIN,-0.53,-0.08
CLE,-0.18,-0.29
DAL,0.03,0.1
DEN,-0.13,-1.38
DET,1.33,0.15
GB,0.26,-0.81
HOU,-1.42,0.37
IND,0.06,-0.14
JAX,-0.9,0.54
KC,-0.09,-0.71
LA,-0.03,0.47
LAC,-1.17,-1.18
LV,-0.07,-0.25
MIA,1.41,0.84
MIN,-1.08,0.62
NE,-0.34,1.66
NO,-0.16,-0.39
NYG,-0.18,-1.54
NYJ,-0.6,0.67
PHI,0.18,0.01
PIT,0.17,0.22
SEA,-0.06,-0.6
SF,1.34,1.06
TB,-1.42,0.61
TEN,-0.17,1.22
WAS,-0.5,-0.08
