nfl_id,name,team,pos,carries,rushing_yards,rushing_tds,targets,catches,receiving_tds,receiving_yards,air_yards,yac,fumbles_lost,return_tds,2PT,RuYdsLine,RecYdsLine,TotYdsLine,P(RushTD),P(RecTD),P(TD),P(100+rush),P(100+rec)
00-0036264,Jordan Love,GB,QB,3.8,14.5,0.23,0.0,0.0,0.00,0.0,0.0,0.0,0.2,0.00,0.0,O 11.5 +103,,O 11.5 +103,0.21,0.00,0.21,0.00,0.00
00-0038391,Sean Clifford,GB,QB,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,,,,0.00,0.00,0.00,0.00,0.00
00-0036265,A.J. Dillon,GB,HB,17.4,74.6,0.45,2.7,1.8,0.07,16.8,7.8,14.1,0.1,0.00,0.0,O 71.5 -102,O 12.5 +102,O 88.5 -101,0.36,0.07,0.41,0.21,0.00
00-0035973,Patrick Taylor,GB,HB,5.1,23.0,0.09,2.5,1.4,0.05,13.2,12.8,8.9,0.0,0.00,0.0,O 19.5 +102,O 8.5 -105,O 31.5 -103,0.08,0.05,0.13,0.00,0.00
00-0033118,Kenyan Drake,GB,HB,0.8,3.4,0.02,0.2,0.1,0.01,1.2,0.7,1.0,0.0,0.00,0.0,,,,0.02,0.01,0.02,0.00,0.00
00-0035831,James Robinson,GB,HB,0.8,3.4,0.02,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,,,,0.02,0.00,0.02,0.00,0.00
00-0033293,Aaron Jones,GB,HB,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,,,,0.00,0.00,0.00,0.00,0.00
00-0039146,Jayden Reed,GB,WR,1.2,6.0,0.04,7.1,4.5,0.36,50.5,64.0,23.5,0.1,0.01,0.0,O 2.5 +109,O 45.5 +101,O 51.5 +101,0.04,0.31,0.33,0.00,0.08
00-0037816,Romeo Doubs,GB,WR,0.0,0.0,0.00,7.1,4.4,0.32,51.6,69.5,21.3,0.0,0.00,0.0,,O 47.5 +102,O 47.5 +102,0.00,0.28,0.28,0.00,0.08
00-0038393,Dontayvion Wicks,GB,WR,0.1,0.7,0.00,4.8,3.2,0.25,42.1,44.3,16.9,0.0,0.00,0.0,,O 37.5 -100,O 38.5 +102,0.00,0.23,0.23,0.00,0.04
00-0038465,Malik Heath,GB,WR,0.1,0.6,0.00,2.4,1.4,0.07,15.7,19.3,7.3,0.0,0.00,0.0,,O 11.5 +101,O 12.5 +105,0.00,0.07,0.07,0.00,0.00
00-0037098,Samori Toure,GB,WR,0.0,0.0,0.00,0.9,0.5,0.03,6.1,9.6,2.4,0.0,0.00,0.0,,,,0.00,0.03,0.03,0.00,0.00
00-0038996,Tucker Kraft,GB,TE,0.0,0.0,0.00,4.9,3.2,0.25,31.9,26.3,19.9,0.0,0.00,0.0,,O 27.5 -102,O 27.5 -102,0.00,0.22,0.22,0.00,0.01
00-0038809,Ben Sims,GB,TE,0.0,0.0,0.00,1.1,0.7,0.04,7.2,6.6,4.2,0.0,0.00,0.0,,,,0.00,0.04,0.04,0.00,0.00
00-0038468,Henry Pearson,GB,TE,0.0,0.0,0.00,0.2,0.1,0.01,1.2,0.8,0.7,0.0,0.00,0.0,,,,0.00,0.01,0.01,0.00,0.00
00-0036332,Josiah Deguara,GB,TE,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,,,,0.00,0.00,0.00,0.00,0.00
